;;;;;;;
"""$schema"" : ""http://json-schema.org/draft-04/schema#"",";;;;;;;"?, ?
?, ?"
type;object;;;;;;
description;Modify CE Service Request;;;;;;
properties;;;;;;;
ID;Parent;Attribute name;type;appearance;value;description from customer;Required
;;;;;;;
 o-50-8;;ce_parameters;object;;;Object contains CE info;
 15-1-181;ce_parameters;ce_line_structure_type;string;enum;"""Act-Act"", ""Act-Sby""";Dual line type;?
 15-1-182;ce_parameters;ce_active_line_selection;string;enum;"""INET"",""MPLS""
";CE active line selection ;?
 15-1-4;ce_parameters;ce_terminal_apply_cold_standby;boolean;;;Cold standby necessity ;?
 15-1-8;ce_parameters;ce_terminal_install_address_country;string;pattern;^.*$;Country name;?
;;ce_parameters_secondary;object;;;Object contains Secondary CE info;?
 15-1-301;ce_parameters_secondary;ce_gw_name;string;pattern;^.{1,32}$;Name ;?
 15-1-318;ce_parameters_secondary;ce_status;string;enum;"""Processing"",
""Kitting"",
""Delivered"",
""Activated"",
""WaitingSendBack"",
""SentBack""";Status ;?
 o-50-50;;ce_internet_breakout_custom;array;;;Array custom ip addresses;?
 16-4-5;ce_internet_breakout_custom;ce_internet_breakout_custom_list_id;string;;;Unique ID for custom subnet generated by BE;?
 16-4-2;ce_internet_breakout_custom;ce_internet_breakout_custom_management_name;string;;;CE internet breakout custom management name;?
 16-4-3;ce_internet_breakout_custom;ce_internet_breakout_custom_network_ipaddr;string;pattern;^([1-9]|[1-9]\\d|1\\d{2}|2[0-4]\\d|25[0-5])(\\.(\\d|[1-9]\\d|1\\d{2}|2[0-4]\\d|25[0-5])){3}$;CE internet breakout custom network ip address;?
 16-4-4;ce_internet_breakout_custom;ce_internet_breakout_custom_network_subnet;integer;;"""minimum"":0,
""maximum"":32,
""exclusiveMinimum"":true,";ce_internet_breakout_custom_network_subnet;?
000,ce_line_struc_test,ce_test,string,enum,"""one"",""two"",""three""",Test case,,Modify CE
